id,x1,x2,x3,y
1,0.3,10,3,97.9
2,0.6,3,3,91.4
3,0.35,5,2,90.8
4,0.32,6,2,80.8
5,0.76,6,1,81.2
6,0.53,7,3,91.8
7,0.31,4,3,87.9
8,0.88,3,3,85.6
9,0.55,2,3,87.3
10,0.22,4,2,75
11,0.23,4,3,90.3
12,0.52,4,2,89.2
13,0.54,7,4,81.9
14,0.26,6,2,100
15,0.36,6,3,80.7
16,0.39,6,3,93.9
17,0.31,4,4,72.5
18,0.24,5,3,91.4
19,0.86,4,2,100
20,0.48,8,3,89.3
21,0.7,5,4,91.6
22,0.76,4,2,80.7
23,0.22,5,4,82.1
24,0.56,3,2,97.6
25,0.36,3,1,75
26,0.47,5,3,77.8
27,0.21,8,3,85.6
28,0.54,3,2,100
29,0.51,7,3,81.9
30,0.87,5,4,82.9
31,0.36,6,1,94.9
32,0.32,7,2,92.9
33,0.63,3,3,89
34,0.28,6,2,96.6
35,0.51,5,2,91.3
36,0.69,5,1,93.1
37,0.8,7,1,100
38,0.76,7,3,86.6
39,0.3,4,4,73
40,0.3,3,2,90.3
41,0.26,8,1,84.3
42,0.51,7,2,87.3
43,0.79,6,1,96
44,0.77,3,1,80.5
45,0.88,4,1,93.4
46,0.64,5,2,99.8
47,0.55,3,3,91.4
48,0.88,2,3,98.8
49,0.46,5,2,85.2
50,0.38,4,4,77.4
51,0.86,6,3,96.9
52,0.37,6,2,89.4
53,0.4,2,3,79.7
54,0.73,5,3,89.1
55,0.81,5,3,94.3
56,0.86,2,2,92.6
57,0.66,7,2,81.7
58,0.59,7,3,87.3
59,0.7,3,3,96.3
60,0.79,4,3,100
61,0.2,7,3,89.9
62,0.65,2,4,77.1
63,0.28,5,2,89.4
64,0.48,6,3,94.3
65,0.55,4,2,90.3
66,0.55,4,2,92.3
67,0.37,7,1,100
68,0.39,7,1,91.2
69,0.49,6,2,87.5
70,0.55,5,2,76.7
71,0.8,7,3,91.8
72,0.77,4,1,100
73,0.7,7,3,94.3
74,0.22,6,1,89.6
75,0.36,7,2,96.3
76,0.52,4,3,76.1
77,0.41,8,2,79.7
78,0.71,2,2,100
79,0.9,6,1,90.7
80,0.85,6,4,98.2
81,0.58,2,2,90
82,0.5,5,3,78.3
83,0.36,3,2,76.3
84,0.69,7,2,87
85,0.83,7,2,82.1
86,0.21,4,2,72
87,0.74,7,3,89.2
88,0.79,6,3,88.3
89,0.89,5,1,97.3
90,0.87,4,2,88.9
91,0.25,6,1,92.4
92,0.45,6,2,95.5
93,0.82,6,3,82.3
94,0.84,4,2,97.3
95,0.3,6,4,90.5
96,0.54,6,2,85.2
97,0.49,7,3,94.5
98,0.47,4,4,91.3
99,0.73,6,2,96.4
100,0.24,6,2,86.5
101,0.38,3,4,87
102,0.27,3,2,92.1
103,0.89,3,2,88.8
104,0.86,3,1,100
105,0.72,5,3,100
106,0.32,4,2,100
107,0.79,6,1,91.9
108,0.25,4,2,88
109,0.86,4,3,98
110,0.39,3,2,92
111,0.53,4,2,90.7
112,0.23,5,2,95.7
113,0.8,3,3,100
114,0.35,7,1,85.4
115,0.62,5,1,92.2
116,0.6,3,1,91.8
117,0.8,3,3,89
118,0.78,2,3,90.5
119,0.83,3,1,86.7
120,0.68,3,4,82.7
121,0.48,5,3,88.1
122,0.9,2,2,97.9
123,0.86,3,2,87
124,0.57,3,1,90.6
125,0.52,5,1,98.6
126,0.3,5,2,84.6
127,0.74,5,2,95.4
128,0.66,4,2,92.1
129,0.23,4,3,81.1
130,0.42,5,1,82.8
131,0.5,5,4,74.8
132,0.31,5,2,96.7
133,0.73,5,4,100
134,0.57,4,2,77.2
135,0.29,7,3,99.5
136,0.73,7,4,85.8
137,0.28,3,1,89.5
138,0.53,5,3,94
139,0.54,8,2,82.1
140,0.4,3,3,81.9
141,0.79,3,3,96.7
142,0.53,3,2,98.7
143,0.65,4,4,94.2
144,0.52,4,3,92.3
145,0.31,7,4,77
146,0.82,4,2,94.5
147,0.2,7,3,85.8
148,0.54,6,2,100
149,0.45,6,4,93.9
150,0.72,7,3,85.6
151,0.36,3,2,95.3
152,0.7,5,3,83.2
153,0.45,7,3,78.5
154,0.51,6,2,95.4
155,0.31,3,2,94.5
156,0.56,4,4,81.2
157,0.72,6,2,87.7
158,0.41,5,3,83.2
159,0.42,3,3,90.8
160,0.24,7,4,90.1
161,0.52,5,3,90.3
162,0.62,8,2,100
163,0.87,3,4,82.8
164,0.24,7,2,77.5
165,0.31,7,4,84.4
166,0.26,4,3,80.1
167,0.45,7,1,100
168,0.37,7,4,87.1
169,0.81,6,1,91.9
170,0.81,5,2,98.3
171,0.78,4,4,83.5
172,0.59,8,2,91.8
173,0.61,3,2,98
174,0.66,8,3,83.1
175,0.49,6,2,92.3
176,0.47,2,4,89.5
177,0.87,5,2,97.1
178,0.53,2,2,100
179,0.42,7,3,94.8
180,0.68,4,3,100
181,0.68,7,2,92.8
182,0.47,6,3,81.1
183,0.28,8,4,72.9
184,0.63,5,4,96.6
185,0.3,8,4,88.2
186,0.62,3,3,80.5
187,0.35,4,2,90.8
188,0.36,7,3,96
189,0.48,5,2,91.6
190,0.41,7,3,88
191,0.79,4,2,90.5
192,0.68,4,4,85.8
193,0.26,2,3,79.5
194,0.33,4,2,96.2
195,0.41,2,2,95.8
196,0.8,4,4,88.5
197,0.23,2,1,99
198,0.79,7,3,84
199,0.23,5,3,74.5
200,0.84,4,3,93.4
201,0.83,6,2,91.6
202,0.78,3,3,87.5
203,0.87,8,4,87.6
204,0.37,5,1,77.3
205,0.83,6,1,84
206,0.59,4,3,96.2
207,0.85,4,3,85.8
208,0.66,4,4,83
209,0.37,3,3,84.3
210,0.81,2,2,87.9
211,0.71,7,4,96
212,0.67,4,4,95.4
213,0.37,5,2,91.3
214,0.42,5,3,75.2
215,0.84,7,2,84
216,0.77,4,3,93.8
217,0.77,3,1,99.2
218,0.89,5,1,93.7
219,0.42,4,2,93.7
220,0.9,7,2,91.7
221,0.86,4,3,90.6
222,0.45,4,3,85.8
223,0.84,3,3,92.7
224,0.31,3,3,80.7
225,0.77,4,2,83.2
226,0.51,6,4,86.5
227,0.29,5,3,96.2
228,0.81,6,3,84
229,0.24,3,4,79.8
230,0.27,3,2,98.5
231,0.48,2,4,79.9
232,0.55,5,4,98.3
233,0.47,3,1,94.8
234,0.51,3,3,83.7
235,0.6,5,3,91.7
236,0.59,6,3,97.7
237,0.4,7,3,88.1
238,0.27,7,1,82.9
239,0.78,3,1,85.9
240,0.64,6,3,92.1
241,0.31,4,4,85.6
242,0.85,3,2,87.8
243,0.54,3,2,96.7
244,0.58,3,4,87.8
245,0.73,2,1,94.4
246,0.81,7,2,91.6
247,0.47,4,4,78.1
248,0.3,8,4,79.5
249,0.36,5,3,75.3
250,0.34,6,3,83.1
251,0.44,8,2,85.7
252,0.66,7,2,90.7
253,0.63,6,2,100
254,0.48,3,2,82.8
255,0.85,6,4,92.2
256,0.32,5,2,77
257,0.85,4,1,89.1
258,0.85,4,2,88
259,0.85,4,2,97.4
260,0.22,2,1,99.7
261,0.58,6,2,88.2
262,0.32,6,4,90.5
263,0.36,4,2,98.3
264,0.41,5,1,98.4
265,0.52,8,3,84.4
266,0.72,7,1,93.3
267,0.6,8,3,78.8
268,0.87,7,1,87.8
269,0.84,3,2,88.3
